"LSOA11CD","LSOA21CD","LinkCode","TotPersons","LSOA11Denom","LSOA21Denom","Prop11of21","Prop21of11","Category"
"E01000335","E01000335","E01000335_E01000335",2712,2712,2712,1,1,"U"
"E01000336","E01000336","E01000336_E01000336",1990,1990,1990,1,1,"U"
"E01000337","E01000337","E01000337_E01000337",1792,1792,1792,1,1,"U"
"E01000338","E01000338","E01000338_E01000338",1918,1918,1918,1,1,"U"
"E01000339","E01000339","E01000339_E01000339",1614,1614,1614,1,1,"U"
"E01000340","E01000340","E01000340_E01000340",1579,1579,1579,1,1,"U"
"E01000341","E01000341","E01000341_E01000341",1544,1544,1544,1,1,"U"
"E01000342","E01000342","E01000342_E01000342",1523,1523,1523,1,1,"U"
"E01000343","E01000343","E01000343_E01000343",1467,1467,1467,1,1,"U"
"E01000344","E01000344","E01000344_E01000344",1637,1637,1637,1,1,"U"
"E01000345","E01000345","E01000345_E01000345",1359,1359,1359,1,1,"U"
"E01000346","E01000346","E01000346_E01000346",1593,1593,1593,1,1,"U"
